Date,Total,Wholesale,Retail,Motor
2018-01-31,101059,49750,39655,11655
2018-02-28,97152,47386,39223,10544
2018-03-31,103777,50675,40825,12278
2018-04-30,99770,48575,39129,12066
2018-05-31,103705,50537,40860,12308
2018-06-30,106131,50406,42706,13019
2018-07-31,106451,49163,43427,13861
2018-08-31,107866,50920,43478,13467
2018-09-30,104717,52382,41171,11164
2018-10-31,106018,51889,41997,12132
2018-11-30,106190,51045,42858,12287
2018-12-31,109309,52746,44666,11898
2019-01-31,108944,52858,43875,12211
2019-02-28,103482,50157,42543,10782
2019-03-31,109438,53210,43634,12594
2019-04-30,105373,51169,41867,12337
2019-05-31,110797,53306,44066,13425
2019-06-30,112341,53640,46000,12700
2019-07-31,112540,52400,46512,13628
2019-08-31,114069,53984,46466,13619
2019-09-30,110621,54839,44126,11656
2019-10-31,111318,53890,44844,12584
2019-11-30,111698,53167,45879,12652
2019-12-31,115825,55602,47787,12435
2020-01-31,114776,55631,46816,12329
2020-02-29,108973,52606,45202,11164
2020-03-31,103182,51777,40732,10672
2020-04-30,66852,37694,28320,838
2020-05-31,84440,40710,36953,6777
2020-06-30,102869,48972,41774,12124
2020-07-31,108653,50047,44746,13860
2020-08-31,111421,51889,45775,13757
2020-09-30,110992,52519,44826,13648
2020-10-31,110453,53405,44188,12859
2020-11-30,110395,52771,44827,12797
2020-12-31,115500,55290,46849,13360
2021-01-31,111846,55415,45629,10802
2021-02-28,108000,52576,44274,11150